"status","product_area","response","justification","request_type"
"replied","General Support","> Google Workspace connectors are available for all users on Claude and Claude Desktop. For Team and Enterprise plans, an Owner or Primary Owner must enable these connectors at the organization level before individual users can authenticate. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"escalated","Assessments & Testing","This issue requires manual review. Our support team will get back to you shortly.","Issue requires manual review due to risk or low confidence.","invalid"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","product_issue"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","bug"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","product_issue"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","product_issue"
"replied","Technical Support","This release helps you stay ahead of the curve. With AI assistance in the IDE, you can now go beyond evaluating code correctness to assessing how candidates work in a real-world setting: how they use AI to write clean, efficient code and make tradeoffs. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","bug"
"replied","Assessments & Testing","As these workflows become standard, hiring and upskilling must evolve to assess not just outcomes, but how developers arrive at them. HackerRank’s January release strengthens how you assess real-world, AI-assisted development while protecting that signal at scale. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"replied","Assessments & Testing","With expanded support for AI-assisted workflows across coding, data science, and code repository questions, you can better assess how candidates utilize AI tools in environments that closely reflect real-world development. As campus hiring scales up, this release strengthens assessment integrity so you can hire with confidence. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","bug"
"escalated","Assessments & Testing","This issue requires manual review. Our support team will get back to you shortly.","Issue requires manual review due to risk or low confidence.","product_issue"
"replied","Assessments & Testing","With expanded support for AI-assisted workflows across coding, data science, and code repository questions, you can better assess how candidates utilize AI tools in environments that closely reflect real-world development. As campus hiring scales up, this release strengthens assessment integrity so you can hire with confidence. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"replied","Technical Support","As these workflows become standard, hiring and upskilling must evolve to assess not just outcomes, but how developers arrive at them. New detection signals, including object detection in webcam feeds and deleted code analysis, help identify potential policy violations without penalizing legitimate workflows. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","bug"
"replied","Interviews","With expanded support for AI-assisted workflows across coding, data science, and code repository questions, you can better assess how candidates utilize AI tools in environments that closely reflect real-world development. As campus hiring scales up, this release strengthens assessment integrity so you can hire with confidence. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","product_issue"
"replied","Technical Support","Availability Claude Cowork is available for paid plans on: - **Claude Desktop for macOS** - **** to download - **Claude Desktop for Windows** - Cowork requires the latest version of Claude for Windows. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","bug"
"escalated","Fraud & Compliance","This appears to be a potential fraud-related issue. Our security team will investigate and respond promptly.","Potential fraud-related issue requiring investigation.","product_issue"
"replied","Technical Support","Creating a resume with Resume Builder You can create a resume in one of the following ways: - Build from scratch using a template. - Import an existing resume in .doc, .docx, or .pdf format. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","bug"
"replied","Assessments & Testing","This guide explains how to configure Zapier Tables and Zaps to: - Send HackerRank assessment invites to candidates. - Receive and store assessment results. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"escalated","Billing & Payments","This request involves billing or payment details and requires manual review by our billing team.","Billing or payment issue requires manual processing.","product_issue"
"escalated","Account Security","This is a sensitive account-related issue. Our support team will assist you with secure verification.","Sensitive account issue requiring identity verification.","bug"
"replied","General Support","_Last updated: 2026-04-07T21:18:35Z_ As per industry standard, Anthropic uses a variety of robots to gather data from the public web for model development, to search the web, and to retrieve web content at users’ direction. Anthropic uses different robots to enable website owner transparency and choice. If you need more assistance, please contact our support team.","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
"replied","Card Services","Give us a call For lost or stolen credit cards, please call us: | Country | Phone | |----|----| | Anguilla | 1 800 847 2911 | | Antigua | 1 800 847 2911 | | Argentina | 0800 666 0171 | | Aruba | 800 1518 | | Australia | 1 800 125 440 | | Austria | 0 800 200 288; await second dial tone, then dial: 800 892 8134 | | Bahamas | 1 800 847 2911 | | Bahrain | 800 006 | | Barbados | 1 800 847 2911 | | Belgium | 0800 1 8397 | | Belize | 811 or 555; await second dial tone, then dial: 800 847 2911 | | Bermuda | 1 800 847 2911 | | Bolivia | 800 10 0188 | | Bonaire | 001 800 847 2911 | | Brazil | 0800 891 3680 | | British Virgin Islands | 1 800 847 2911 | | Bulgaria | 00 800 0010; await second dial tone, then dial: 888 557 4446 | | Cambodia | 1 800 881 001; await second dial tone, then dial: 888 710 7783 | | Canada | 1 800 847 2911 | | Cayman Islands | 1 800 847 2911 | | Chile | 1230 020 2136 | | China Mainland | 10 800 711 2911 | | China Mainland | 10 800 110 2911 | | Colombia | 01 800 912 5713 ...","Relevant documentation found and issue is low risk, so a direct response was provided.","product_issue"
